ID,HH,LUGAR_DEL_HECHO,TIPO_DE_CALLE,COMUNA,pos x,pos y,ACUSADO,FECHA_y,AAAA_y,MM_y,DD_y,ROL,VICTIMA_y,SEXO,EDAD
2016-0093,3,AV JUAN B ALBERDI Y EMILIO MITRE,AVENIDA,6,-58.44362126,-34.62301748,AUTO,7/17/2016,2016,7,17,CONDUCTOR,AUTO,MASCULINO,35
2016-0095,6,MERCEDES Y AV GRAL MOSCONI,AVENIDA,11,-58.51713095,-34.59546519,AUTO,7/23/2016,2016,7,23,CONDUCTOR,MOTO,MASCULINO,29
2016-0096,7,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. KM. 2,3",AUTOPISTA,8,-58.47433193007387,-34.66684950051973,CARGAS,7/25/2016,2016,7,25,CONDUCTOR,MOTO,MASCULINO,30
2016-0097,18,SOLIS Y MEXICO,CALLE,1,-58.39038605,-34.6156281,AUTO,7/26/2016,2016,7,26,PEATON,PEATON,MASCULINO,80
2016-0098,16,AV SAN JUAN Y ALBERTI,AVENIDA,3,-58.40042405,-34.62356174,CARGAS,7/27/2016,2016,7,27,CONDUCTOR,MOTO,FEMENINO,43
2016-0099,16,AV GRAL MOSCONI Y AV GRAL PAZ,GRAL PAZ,11,-58.52340614,-34.59798754,CARGAS,7/29/2016,2016,7,29,CONDUCTOR,CARGAS,MASCULINO,45
2016-0100,23,AV GRAL PAZ  Y DONADO,GRAL PAZ,12,-58.49491054,-34.54795581,OBJETO FIJO,8/3/2016,2016,8,3,CONDUCTOR,MOTO,MASCULINO,57
2016-0101,19,AV GRAL PAZ Y JORGE CHAVEZ,GRAL PAZ,9,-58.52932872,-34.65014993,AUTO,8/7/2016,2016,8,7,CONDUCTOR,MOTO,MASCULINO,67
2016-0102,23,AV EVA PERON Y JOSE LEON SUAREZ,AVENIDA,9,-58.50011639,-34.67316502,CARGAS,8/10/2016,2016,8,10,CONDUCTOR,MOTO,MASCULINO,29
2016-0104,21,ZINNY Y AV SANTIAGO DE COMPOSTELA,AVENIDA,9,-58.46635001,-34.65624369,PASAJEROS,8/14/2016,2016,8,14,CONDUCTOR,MOTO,MASCULINO,21
2016-0105,0,AV FEDERICO LACROZE Y FRAGA,AVENIDA,15,-58.45343236,-34.58435809,PASAJEROS,8/17/2016,2016,8,17,PEATON,PEATON,MASCULINO,19
2016-0106,21,CARLOS PELLEGRINI Y AV DEL LIBERTADOR,AVENIDA,1,-58.38090932,-34.58927731,PASAJEROS,8/19/2016,2016,8,19,PEATON,PEATON,MASCULINO,38
2016-0107,8,AUTOPISTA 9 DE JULIO SUR ALT AV MENDOZA,AUTOPISTA,4,-58.37157668,-34.65429986,AUTO,8/20/2016,2016,8,20,CONDUCTOR,MOTO,MASCULINO,21
2016-0109,5,AUTOPISTA PERITO MORENO Y BARRAGAN,AUTOPISTA,9,-58.52280139,-34.63659934,OBJETO FIJO,8/24/2016,2016,8,24,CONDUCTOR,AUTO,FEMENINO,53
2016-0110,20,AV ALBERDI Y CARHUE,AVENIDA,9,-58.51232237,-34.6590353,AUTO,8/24/2016,2016,8,24,PEATON,PEATON,MASCULINO,57
2016-0111,9,AUTOPISTA LEOPOLDO LUGONES Y LA PAMPA,AUTOPISTA,15,-58.47461905,-34.57663634,CARGAS,8/25/2016,2016,8,25,CONDUCTOR,MOTO,MASCULINO,27
2016-0112,4,AUTOPISTA 25 DE MAYO AUTOPISTA 1 SUR ARTURO FRONDIZI,AUTOPISTA,1,-58.38268809,-34.62282019,OBJETO FIJO,8/27/2016,2016,8,27,CONDUCTOR,MOTO,MASCULINO,24
2016-0113,16,AV JUAN BAUTISTA ALBERDI Y GUARDIA NACIONAL,AVENIDA,9,-58.49603546,-34.64564271,PASAJEROS,8/27/2016,2016,8,27,PEATON,PEATON,FEMENINO,60
2016-0114,11,SALGUERO 1410,CALLE,14,-58.41848605,-34.59394733,CARGAS,8/31/2016,2016,8,31,CICLISTA,BICICLETA,FEMENINO,55
